WKT	NAME	NAME_EN	NAME_RU	RAILWAY	GAUGE	SERVICE	BRIDGE	TUNNEL	OSM_TYPE	OSM_ID
"LINESTRING (20.4665301 54.6758012,20.4670728 54.6756415,20.4676631 54.6754599,20.4701339 54.6745515,20.4720653 54.6738934,20.4727998 54.6736431,20.4753849 54.6727237)"				rail	"1520"	spur			way	"78188726"
"LINESTRING (20.4643926 54.677282,20.464185 54.6770068,20.464104 54.6767729,20.4640469 54.6765747,20.4640945 54.6762857,20.46478 54.6751488,20.4651514 54.6746313,20.4652656 54.6744083,20.4653085 54.6739652)"				rail	"1520"	spur			way	"78205132"
"LINESTRING (20.5025561 54.6918095,20.5028473 54.6915761)"				rail	"1520"	yard			way	"42321049"
"LINESTRING (20.5068314 54.8279454,20.5068585 54.8275825,20.5069092 54.8274282,20.5069734 54.8271582)"	"5"			rail	"1520"	spur			way	"81524626"
"LINESTRING (22.1720474 54.5839147,22.1726328 54.5839348,22.1757274 54.5840419,22.1763877 54.5840661,22.1779286 54.5841226,22.1789491 54.5841549,22.1811184 54.584239)"				rail	"1520"				way	"84118480"
"LINESTRING (20.5222425 54.6852385,20.5221308 54.6851431,20.52206 54.685061,20.5220567 54.6849827,20.5221271 54.6849186,20.5222581 54.6848841,20.5224393 54.6848778,20.5226163 54.6849173,20.5226694 54.6849724,20.5226924 54.6851266)"				tram					way	"97264558"
"LINESTRING (19.9346875 54.4642581,19.9357095 54.4647918,19.9383618 54.4661267,19.9392882 54.466593,19.9404091 54.4674268,19.9411052 54.4679355,19.9417448 54.4684355,19.9447933 54.4714543,19.949263 54.4762043,19.9535356 54.4808092,19.9540014 54.4812995,19.9665334 54.4942467,19.9689931 54.4962265,19.9723479 54.4980102,19.9768947 54.4995359,19.9880784 54.5023525,19.9927285 54.5042072,19.9950378 54.505472,20.0069543 54.5147318,20.0082779 54.5157734,20.0177057 54.5231919,20.0207001 54.5252767,20.0324123 54.5320159,20.04434 54.5386402,20.0475976 54.5404264,20.0513178 54.5419836,20.0557164 54.5432279,20.055916 54.5432857,20.0854847 54.5506536,20.0983506 54.5535892,20.1128507 54.5567822,20.1533066 54.5651893,20.1598853 54.5665358,20.1666246 54.5680406,20.1699092 54.5688981,20.1717518 54.5693798,20.1734448 54.5697797,20.1770136 54.5707678,20.1828995 54.5722842,20.185124 54.5729593,20.1868201 54.5734123,20.1885467 54.5738439,20.1902801 54.5741795,20.1923346 54.5745021,20.1924429 54.5745191,20.196257 54.5750902,20.1979627 54.575419,20.2011825 54.5758927,20.2044792 54.5760896,20.2075234 54.5760735,20.2105238 54.5758096,20.2124927 54.5754915,20.2142232 54.5751596,20.2171284 54.5743392,20.2186294 54.5737967,20.2196113 54.5733765,20.2210593 54.5726264,20.2252855 54.5703758,20.2341045 54.565694,20.2364621 54.564755,20.2390956 54.5640001,20.2420706 54.5633324,20.246748 54.5628515,20.2483806 54.5628268,20.3058988 54.5624644,20.3119182 54.5626169,20.3173535 54.5632011,20.3224539 54.5643963,20.3247172 54.5651278,20.3267257 54.5657776,20.328287 54.5663714,20.3310686 54.5675921,20.3333742 54.5686783)"				rail	"1520"				way	"43062234"
"LINESTRING (20.4448374 54.6921114,20.4448248 54.6922439,20.4448985 54.69249,20.4450569 54.6927396,20.4455572 54.6934469)"				rail	"1520"	spur			way	"101979407"
"LINESTRING (20.4322856 54.6877807,20.4331754 54.6879267)"				rail	"1520"	siding			way	"101979417"
"LINESTRING (22.1569876 54.9318887,22.1541276 54.9307639,22.1526648 54.9301994,22.1511366 54.9296349,22.1504307 54.9294635,22.1499064 54.9293523,22.1486599 54.9293113,22.1469641 54.9295218,22.1439847 54.9304516)"				construction					way	"102274493"
"LINESTRING (20.1009909 54.5522849,20.0913457 54.5499952,20.0875658 54.5490978,20.0793754 54.5480798,20.072571 54.5474644)"				abandoned					way	"80629836"
"LINESTRING (19.9381238 54.8766777,19.9380525 54.8767966,19.93793 54.8769811,19.9377968 54.8772127,19.9376383 54.8777098,19.9376145 54.877926,19.9375036 54.8779313)"				abandoned					way	"80745557"
"LINESTRING (20.4770048 54.7203283,20.4774857 54.7202915)"				disused					way	"91277980"
"LINESTRING (20.527403 54.742175,20.5265447 54.7414435,20.5262929 54.7412291,20.5259009 54.740869,20.5256474 54.7406432,20.5245689 54.7397497,20.5233277 54.7386848,20.5225451 54.7381281,20.5217038 54.7376225,20.5208503 54.7371202,20.5199016 54.7366502,20.5189221 54.7362723,20.517913 54.7359383,20.5168494 54.7356607,20.5157782 54.735433,20.5144624 54.7351871,20.5124014 54.734802,20.5104049 54.7344229,20.5093358 54.7341942,20.5083086 54.7338572,20.5073875 54.7334181,20.506543 54.7328648,20.505874 54.7322471,20.5053618 54.7315652,20.50507 54.7308745,20.5049558 54.7301498,20.5048019 54.72787)"				rail	"1520"				way	"42920514"
"LINESTRING (20.4825219 54.6818179,20.4822658 54.6817899)"	Киевская улица			tram					way	"43055430"
"LINESTRING (21.2059441 54.6154941,21.2064591 54.6153885,21.2071244 54.6151954,21.2075997 54.6150432,21.2080023 54.6148634,21.2086174 54.6145233,21.2095845 54.6139157,21.2101528 54.6134301,21.2112668 54.6120779,21.2133646 54.6091646,21.2137198 54.6085741,21.2145377 54.6074894,21.2149849 54.6070703,21.2158714 54.60668,21.2177401 54.6061538,21.2192235 54.6056243)"				abandoned					way	"150187379"
"LINESTRING (21.6992854 54.5579035,21.6895405 54.5603115,21.6886347 54.5605353)"				disused		spur			way	"150201359"
"LINESTRING (21.1879059 54.6166111,21.1933991 54.6160147,21.1937746 54.6159899,21.1942574 54.6159837)"				rail		spur			way	"161649233"
"LINESTRING (20.4740345 54.7193528,20.4728413 54.7187396,20.472102 54.7183679,20.4714577 54.7180677,20.4708813 54.7177676,20.4700369 54.7173506,20.4696493 54.717153,20.46963 54.717143,20.4694433 54.7170467,20.4686449 54.7166351,20.4685485 54.7165854,20.4661368 54.7153737,20.4658684 54.7152355,20.4657157 54.7151609,20.4655554 54.7150907,20.4654774 54.7150763,20.4649131 54.7149836,20.4637928 54.7148052,20.4632203 54.7147067,20.4630314 54.7146765,20.4628016 54.7146451,20.4625803 54.7146227,20.4623806 54.7146073,20.4608024 54.7145381,20.4597927 54.7144758,20.4591595 54.7144371,20.4590334 54.7144261,20.4589865 54.714421,20.4580333 54.7143436,20.4577647 54.7143266,20.4574156 54.7143075,20.4569615 54.7142605,20.4549683 54.7141011,20.4547218 54.714064,20.4541627 54.713905,20.4533445 54.7136627,20.4526803 54.7134661,20.4520539 54.7132433,20.4519659 54.7132006,20.4516295 54.7130371,20.4514266 54.7129296,20.4511519 54.712784)"				disused					way	"91277963"
"LINESTRING (21.0752114 54.6458527,21.0752414 54.6457806,21.0754549 54.6453107,21.0754957 54.645231,21.0756786 54.6448732,21.0764159 54.6434141,21.0775787 54.6411959,21.0776469 54.6410657,21.0778049 54.6407639,21.0779074 54.6405584,21.0779095 54.6404001,21.0778484 54.6402122,21.0776143 54.6399133)"	улица Дзержинского			abandoned					way	"119311523"
"LINESTRING (20.4442109 54.6899621,20.4469503 54.6903466,20.4470747 54.690356,20.4472775 54.6903669,20.4474506 54.6903669,20.4476669 54.6903544,20.4478833 54.6903325,20.4480509 54.6903044,20.4483809 54.6902391,20.4486006 54.6901727,20.4487932 54.6901024,20.448942 54.6900418,20.4491009 54.6899636,20.4492462 54.6898699,20.449378 54.689778,20.449449 54.6897214,20.4495606 54.6896373,20.4496485 54.6895553,20.4497194 54.6894732,20.4497803 54.6893892,20.4498513 54.6892544,20.4499493 54.6890024)"				rail	"1520"	spur			way	"40579869"
"LINESTRING (20.2865634 54.7357726,20.2788664 54.7353659,20.2628561 54.7345756,20.2603182 54.7344419,20.2506846 54.7333931,20.2446367 54.7327431,20.239013 54.732206,20.2370354 54.7321353,20.2348339 54.7321477,20.2322494 54.7324115,20.2291673 54.7328592,20.2266801 54.7333854)"				rail	"1520"				way	"132901801"
"LINESTRING (20.4429669 54.6904369,20.4425363 54.6904702,20.4423029 54.6905174,20.4420756 54.6905634,20.4415746 54.6907348,20.4413529 54.6908746,20.4410246 54.6911326,20.4402386 54.6917051)"				rail	"1520"	spur			way	"101979400"
"LINESTRING (20.4997359 54.6845213,20.5000294 54.6843747,20.5003853 54.6842088,20.5011732 54.6839506,20.5022045 54.683726,20.503272 54.6835644,20.5040022 54.6834976,20.5048829 54.6834384,20.5061679 54.6833686,20.5083396 54.6832396,20.5112292 54.6830478,20.5132622 54.6829222,20.5140977 54.6828682,20.5150418 54.6828071,20.5153057 54.6827945)"	"101"			rail	"1520"	yard			way	"78628872"
"LINESTRING (20.4663303 54.711256,20.4631593 54.7109786,20.4593255 54.7106527,20.4587333 54.7105962,20.4580026 54.7105265,20.4576866 54.7104988,20.4566999 54.7104123,20.4551658 54.7102777,20.4500672 54.7098599,20.4476357 54.7096503,20.4462143 54.7095293)"	"3"			rail	"1520"	siding			way	"58425905"
"LINESTRING (20.457098 54.6996861,20.4566679 54.6998298,20.4561305 54.7000655,20.4558665 54.7001681,20.4533376 54.7008447)"				rail	"1520"	spur			way	"86338819"
"LINESTRING (20.4769273 54.687015,20.4777237 54.6875892)"				rail	"1520"	spur			way	"78056228"
"LINESTRING (20.4890162 54.7065226,20.4899333 54.705233,20.4902473 54.7047759)"				rail	"1520"		yes		way	"40518032"
"LINESTRING (20.5617917 54.5585249,20.561858 54.5590407)"				rail			yes		way	"173735643"
"LINESTRING (20.4502836 54.7210403,20.4502812 54.7210225,20.4502847 54.7210016,20.4502972 54.7209746,20.4503105 54.7209549,20.450329 54.7209347,20.4503767 54.7208928,20.4504304 54.7208743,20.4504941 54.7208669,20.4505653 54.7208664)"				tram					way	"93937403"
"LINESTRING (20.4869737 54.6825586,20.4852563 54.6825954,20.4850434 54.6825805,20.4848387 54.6825363,20.4846286 54.6824833,20.4834266 54.6821088,20.4830023 54.6819724,20.4829012 54.6819399,20.4825219 54.6818179)"	Киевская улица			tram					way	"176442457"
"LINESTRING (20.4511519 54.712784,20.4508453 54.7127256,20.4500729 54.7125988,20.449673 54.7125218,20.4492653 54.7124448,20.4491359 54.7123428,20.4490575 54.7122273,20.449085 54.7120915,20.4491869 54.7120031,20.449328 54.7119465,20.4494657 54.7119363,20.4496025 54.7119261,20.449873 54.7119624,20.4502337 54.7121186,20.4507237 54.7125014,20.4510374 54.7126961,20.4512373 54.7128003)"				disused					way	"88217915"
"LINESTRING (20.2388289 54.8445586,20.239484 54.8445857,20.2399648 54.8446169,20.2409811 54.8447633,20.2421618 54.8449498)"				rail	"1520"	yard			way	"186168576"
"LINESTRING (20.4855559 54.720107,20.48558 54.7200915,20.485648 54.7200587,20.4858042 54.7200077,20.4860166 54.7199647,20.4862238 54.7199488,20.4864369 54.7199575,20.4866644 54.7199613,20.4872003 54.7200338,20.4876552 54.7200987,20.4879794 54.7201078,20.4882513 54.7201002,20.4889833 54.7199205,20.4908604 54.7193799,20.4913179 54.7192984,20.4921414 54.7192123,20.4926735 54.7191814,20.492914 54.7192221,20.4931231 54.7192848,20.4933075 54.7194177,20.4934931 54.7195581,20.4936042 54.7196336,20.4941571 54.7198503,20.4943963 54.7199356,20.4946591 54.7199885,20.4953989 54.7200262,20.4974761 54.7201198,20.497864 54.7201423)"				disused					way	"91277929"
"LINESTRING (21.0289111 54.4356099,21.0301721 54.4354827,21.0315658 54.4353816,21.0335745 54.4354334,21.0354537 54.4356266,21.0371951 54.4359752,21.0383672 54.4363156,21.0386774 54.436451,21.0399472 54.4369985,21.0641803 54.4488341,21.095743 54.4579073,21.1047153 54.4606897,21.1106362 54.4626468,21.1141465 54.4633058,21.1175914 54.4635212,21.1196408 54.4636352,21.1345573 54.4641412,21.1415945 54.4639451,21.149781 54.4638376,21.1511839 54.4638734,21.154699 54.4643394,21.1700478 54.4666935,21.1721845 54.4673271,21.1738416 54.4679353,21.1911531 54.4763733,21.1935515 54.4780201,21.1968552 54.480299,21.2056047 54.4864597,21.2143616 54.492823,21.2170476 54.4944612,21.2228783 54.4980685,21.2259559 54.4995612,21.2291978 54.5005916,21.2461814 54.5046096,21.2479161 54.5056169,21.2556606 54.5125951,21.2697866 54.5252535,21.2722029 54.5279141,21.2728844 54.5304667,21.2700964 54.5538642,21.2690431 54.5630255,21.2702203 54.571179,21.2710257 54.5802287,21.2704681 54.5830294,21.266829 54.5912247,21.2661609 54.5919354,21.2478751 54.6072145,21.2445914 54.609816,21.2424849 54.6110538,21.2404714 54.6118253,21.235857 54.6127492)"				abandoned					way	"164053825"
"LINESTRING (20.1580697 54.6984734,20.1586184 54.6984086,20.1601126 54.6982887,20.1606742 54.6982159,20.1619743 54.6979562,20.1637476 54.6973957,20.1658477 54.6965755,20.1667455 54.6962927)"				rail		siding			way	"189677760"
"LINESTRING (22.3979794 54.4169507,22.3968437 54.4160686)"				disused			yes		way	"210059828"
"LINESTRING (20.3333742 54.5686783,20.3338589 54.5689142)"				rail	"1520"		yes		way	"174001237"
"LINESTRING (20.2754291 54.4507519,20.2821001 54.4482705,20.2922836 54.4436183,20.2943564 54.4425904)"				abandoned					way	"178226413"
